Seq,FLNO,Fdate,ActDept,ActArr,Pilot
1,1000,10/5/2002,1/1/2002 10:10,1/1/2002 13:10,3
1,1000,10/6/2002,1/1/2002 10:30,1/1/2002 14:20,8
1,1010,10/5/2002,1/1/2002 13:20,1/1/2002 17:10,1
2,1010,10/5/2002,1/1/2002 18:00,1/1/2002 21:00,1
1,1010,10/6/2002,1/1/2002 13:10,1/1/2002 16:10,3
2,1010,10/6/2002,1/1/2002 17:00,1/1/2002 20:30,6
1,1020,10/5/2002,1/1/2002 5:40,1/1/2002 6:30,5
2,1020,10/5/2002,1/1/2002 7:30,1/1/2002 10:40,5
3,1020,10/5/2002,1/1/2002 11:30,1/1/2002 12:20,5
4,1020,10/5/2002,1/1/2002 13:00,1/1/2002 16:00,2
1,1030,10/5/2002,1/1/2002 11:20,1/1/2002 16:10,8
2,1030,10/5/2002,1/1/2002 17:20,1/1/2002 18:40,8
1,1000,10/7/2002,,,
1,1040,10/7/2002,,,


 
