PassID,FLNO,FDate,FromA,ToA,SeatClass,DateBooked,DateCancelled
1,1000,10/5/2002,DFW,LOG,E,9/5/2002,
1,1020,10/5/2002,LOG,JFK,E,9/14/2002,
2,1020,10/5/2002,LOG,INT,E,9/4/2002,
3,1020,10/5/2002,JFK,LAX,E,9/19/2002,
4,1020,10/5/2002,LOG,LAX,E,9/10/2002,
5,1020,10/5/2002,LOG,DFW,F,9/29/2002,
6,1010,10/5/2002,LAX,JFK,E,9/19/2002,
7,1010,10/5/2002,LAX,ORD,E,9/27/2002,
8,1030,10/5/2002,LAX,DFW,F,10/5/2002,
3,1010,10/6/2002,LAX,JFK,E,9/14/2002,
9,1010,10/6/2002,LAX,JFK,E,9/9/2002,
10,1010,10/6/2002,ORD,JFK,E,9/7/2002,9/19/2002
11,1000,10/6/2002,DFW,LOG,E,9/9/2002,
12,1000,10/6/2002,DFW,LOG,E,9/19/2002,
1,1010,10/6/2002,ORD,JFK,E,9/15/2002,
1,1040,10/7/2002,LAX,LGA,E,10/1/2002,
